Date : 2024-08-01 12:12:32
Directory : c:\xampp\htdocs
Total : 536 files,  105411 codes, 19972 comments, 15224 blanks, all 140607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Funciones\Profesor                                                                                             |          9 |        770 |          6 |         82 |        858 |
| Funciones\Reportes                                                                                             |          1 |          9 |          0 |          0 |          9 |
| Funciones\Representante                                                                                        |         19 |      1,703 |         24 |        233 |      1,960 |
| Funciones\Respaldo                                                                                             |          5 |        763 |        185 |        149 |      1,097 |
| Funciones\Respaldo (Files)                                                                                     |          4 |        218 |         11 |         33 |        262 |
| Funciones\Respaldo\batalla_de_niquitao_20240213-203100                                                         |          1 |        545 |        174 |        116 |        835 |
| Funciones\Seccion                                                                                              |         13 |      1,098 |          2 |         79 |      1,179 |
| Funciones\Soporte                                                                                              |          2 |        260 |          0 |         14 |        274 |
| controlador                                                                                                    |          6 |        195 |          3 |         48 |        246 |
| css                                                                                                            |         31 |      3,054 |        135 |        584 |      3,773 |
| dompdf                                                                                                         |        236 |     45,372 |     16,639 |      9,261 |     71,272 |
| dompdf (Files)                                                                                                 |          3 |        186 |          0 |         73 |        259 |
| dompdf\vendor                                                                                                  |        233 |     45,186 |     16,639 |      9,188 |     71,013 |
| dompdf\vendor (Files)                                                                                          |          1 |          3 |          1 |          4 |          8 |
| dompdf\vendor\composer                                                                                         |         10 |        953 |        378 |        145 |      1,476 |
| dompdf\vendor\dompdf                                                                                           |         81 |     23,771 |      9,809 |      5,184 |     38,764 |
| dompdf\vendor\dompdf\dompdf                                                                                    |         81 |     23,771 |      9,809 |      5,184 |     38,764 |
| dompdf\vendor\dompdf\dompdf (Files)                                                                            |          3 |        232 |          0 |         74 |        306 |
| dompdf\vendor\dompdf\dompdf\lib                                                                                |         10 |      7,290 |      1,647 |      1,034 |      9,971 |
| dompdf\vendor\dompdf\dompdf\lib (Files)                                                                        |          1 |      3,949 |      1,612 |        941 |      6,502 |
| dompdf\vendor\dompdf\dompdf\lib\fonts                                                                          |          7 |      2,942 |          0 |          0 |      2,942 |
| dompdf\vendor\dompdf\dompdf\lib\res                                                                            |          2 |        399 |         35 |         93 |        527 |
| dompdf\vendor\dompdf\dompdf\src                                                                                |         68 |     16,249 |      8,162 |      4,076 |     28,487 |
| dompdf\vendor\dompdf\dompdf\src (Files)                                                                        |         13 |      4,100 |      2,821 |      1,043 |      7,964 |
| dompdf\vendor\dompdf\dompdf\src\Adapter                                                                        |          3 |      1,983 |        805 |        538 |      3,326 |
| dompdf\vendor\dompdf\dompdf\src\Css                                                                            |          4 |      3,812 |      1,750 |        831 |      6,393 |
| dompdf\vendor\dompdf\dompdf\src\Exception                                                                      |          1 |         10 |         16 |          5 |         31 |
| dompdf\vendor\dompdf\dompdf\src\Frame                                                                          |          4 |        437 |        242 |         99 |        778 |
| dompdf\vendor\dompdf\dompdf\src\FrameDecorator                                                                 |         13 |      1,733 |        988 |        506 |      3,227 |
| dompdf\vendor\dompdf\dompdf\src\FrameReflower                                                                  |         12 |      2,325 |        875 |        601 |      3,801 |
| dompdf\vendor\dompdf\dompdf\src\Image                                                                          |          1 |        192 |         62 |         36 |        290 |
| dompdf\vendor\dompdf\dompdf\src\Positioner                                                                     |          9 |        270 |        162 |         68 |        500 |
| dompdf\vendor\dompdf\dompdf\src\Renderer                                                                       |          8 |      1,387 |        441 |        349 |      2,177 |
| dompdf\vendor\masterminds                                                                                      |         27 |      6,745 |      1,845 |        790 |      9,380 |
| dompdf\vendor\masterminds\html5                                                                                |         27 |      6,745 |      1,845 |        790 |      9,380 |
| dompdf\vendor\masterminds\html5 (Files)                                                                        |          4 |        374 |          0 |        118 |        492 |
| dompdf\vendor\masterminds\html5\bin                                                                            |          1 |         16 |          6 |          5 |         27 |
| dompdf\vendor\masterminds\html5\src                                                                            |         22 |      6,355 |      1,839 |        667 |      8,861 |
| dompdf\vendor\masterminds\html5\src (Files)                                                                    |          1 |         97 |        123 |         27 |        247 |
| dompdf\vendor\masterminds\html5\src\HTML5                                                                      |         21 |      6,258 |      1,716 |        640 |      8,614 |
| dompdf\vendor\masterminds\html5\src\HTML5 (Files)                                                              |          4 |      2,661 |        210 |         39 |      2,910 |
| dompdf\vendor\masterminds\html5\src\HTML5\Parser                                                               |         12 |      1,625 |      1,222 |        493 |      3,340 |
| dompdf\vendor\masterminds\html5\src\HTML5\Serializer                                                           |          5 |      1,972 |        284 |        108 |      2,364 |
| dompdf\vendor\phenx                                                                                            |         72 |      9,475 |      2,743 |      2,365 |     14,583 |
| dompdf\vendor\phenx\php-font-lib                                                                               |         41 |      2,787 |        766 |        751 |      4,304 |
| dompdf\vendor\phenx\php-font-lib (Files)                                                                       |          4 |         78 |          0 |          8 |         86 |
| dompdf\vendor\phenx\php-font-lib\.github                                                                       |          1 |         35 |          0 |         10 |         45 |
| dompdf\vendor\phenx\php-font-lib\.github\workflows                                                             |          1 |         35 |          0 |         10 |         45 |
| dompdf\vendor\phenx\php-font-lib\src                                                                           |         36 |      2,674 |        766 |        733 |      4,173 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib                                                                   |         36 |      2,674 |        766 |        733 |      4,173 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib (Files)                                                           |          6 |        554 |        162 |        160 |        876 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\EOT                                                               |          2 |        146 |         85 |         42 |        273 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\Exception                                                         |          1 |          9 |          0 |          2 |         11 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph                                                             |          4 |        506 |         90 |        123 |        719 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\OpenType                                                          |          2 |          8 |         23 |          7 |         38 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\Table                                                             |         14 |        962 |        250 |        257 |      1,469 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\Table (Files)                                                     |          2 |        132 |         46 |         50 |        228 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type                                                        |         12 |        830 |        204 |        207 |      1,241 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\TrueType                                                          |          4 |        407 |        115 |        116 |        638 |
| dompdf\vendor\phenx\php-font-lib\src\FontLib\WOFF                                                              |          3 |         82 |         41 |         26 |        149 |
| dompdf\vendor\phenx\php-svg-lib                                                                                |         31 |      6,688 |      1,977 |      1,614 |     10,279 |
| dompdf\vendor\phenx\php-svg-lib (Files)                                                                        |          3 |         51 |          0 |         12 |         63 |
| dompdf\vendor\phenx\php-svg-lib\src                                                                            |         28 |      6,637 |      1,977 |      1,602 |     10,216 |
| dompdf\vendor\phenx\php-svg-lib\src\Svg                                                                        |         28 |      6,637 |      1,977 |      1,602 |     10,216 |
| dompdf\vendor\phenx\php-svg-lib\src\Svg (Files)                                                                |          4 |        847 |        111 |        168 |      1,126 |
| dompdf\vendor\phenx\php-svg-lib\src\Svg\Gradient                                                               |          1 |          8 |          6 |          3 |         17 |
| dompdf\vendor\phenx\php-svg-lib\src\Svg\Surface                                                                |          4 |      4,610 |      1,679 |      1,148 |      7,437 |
| dompdf\vendor\phenx\php-svg-lib\src\Svg\Tag                                                                    |         19 |      1,172 |        181 |        283 |      1,636 |
| dompdf\vendor\sabberworm                                                                                       |         42 |      4,239 |      1,863 |        700 |      6,802 |
| dompdf\vendor\sabberworm\php-css-parser                                                                        |         42 |      4,239 |      1,863 |        700 |      6,802 |
| dompdf\vendor\sabberworm\php-css-parser (Files)                                                                |          3 |        776 |          0 |        169 |        945 |
| dompdf\vendor\sabberworm\php-css-parser\src                                                                    |         39 |      3,463 |      1,863 |        531 |      5,857 |
| dompdf\vendor\sabberworm\php-css-parser\src (Files)                                                            |          5 |        332 |        321 |         87 |        740 |
| dompdf\vendor\sabberworm\php-css-parser\src\CSSList                                                            |          5 |        597 |        313 |         76 |        986 |
| dompdf\vendor\sabberworm\php-css-parser\src\Comment                                                            |          2 |         42 |         40 |         16 |         98 |
| dompdf\vendor\sabberworm\php-css-parser\src\Parsing                                                            |          5 |        375 |        201 |         58 |        634 |
| dompdf\vendor\sabberworm\php-css-parser\src\Property                                                           |          6 |        295 |        248 |         78 |        621 |
| dompdf\vendor\sabberworm\php-css-parser\src\Rule                                                               |          1 |        225 |        134 |         34 |        393 |
| dompdf\vendor\sabberworm\php-css-parser\src\RuleSet                                                            |          3 |        883 |        289 |         61 |      1,233 |
| dompdf\vendor\sabberworm\php-css-parser\src\Value                                                              |         12 |        714 |        317 |        121 |      1,152 |
| errores                                                                                                        |          2 |         88 |          0 |         12 |        100 |
| fonts                                                                                                          |          2 |        943 |          0 |          0 |        943 |
| images                                                                                                         |         75 |     14,549 |         75 |         75 |     14,699 |
| images (Files)                                                                                                 |          1 |      2,756 |          1 |          1 |      2,758 |
| images\Acciones                                                                                                |         16 |        746 |         16 |         16 |        778 |
| images\Contextual                                                                                              |          8 |        444 |          8 |          8 |        460 |
| images\Funciones                                                                                               |          5 |        346 |          5 |          5 |        356 |
| images\Iconos                                                                                                  |         32 |      8,678 |         32 |         32 |      8,742 |
| images\Menu-2                                                                                                  |          4 |        178 |          4 |          4 |        186 |
| images\OLD                                                                                                     |          1 |      1,161 |          1 |          1 |      1,163 |
| images\Ventana                                                                                                 |          8 |        240 |          8 |          8 |        256 |
| js                                                                                                             |         12 |     23,042 |      2,372 |      2,970 |     28,384 |
| sql                                                                                                            |          1 |      2,163 |        467 |        738 |      3,368 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Funciones\Acerca\hogar-acerca-de.php                                                           | PHP        |        375 |          0 |         14 |        389 |
| c:\xampp\htdocs\Funciones\Administrativo\agregar-mision-vision.php                                             | PHP        |        104 |          0 |          3 |        107 |
| c:\xampp\htdocs\Funciones\Administrativo\hogar-administrativos.php                                             | PHP        |        170 |          0 |          7 |        177 |
| c:\xampp\htdocs\Funciones\Administrativo\menu-acciones-administrativos.php                                     | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Administrativo\reporte-administrativo.php                                            | PHP        |         56 |          2 |         20 |         78 |
| c:\xampp\htdocs\Funciones\Configuracion\hogar-configuraciones.php                                              | PHP        |        203 |          0 |          8 |        211 |
| c:\xampp\htdocs\Funciones\Contrato\agregar-contratos.php                                                       | PHP        |        101 |          0 |          5 |        106 |
| c:\xampp\htdocs\Funciones\Contrato\borrar-contrato.php                                                         | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Contrato\eliminar-contratos.php                                                      | PHP        |         88 |          0 |          5 |         93 |
| c:\xampp\htdocs\Funciones\Contrato\hogar-contratos.php                                                         | PHP        |        140 |          0 |          7 |        147 |
| c:\xampp\htdocs\Funciones\Contrato\ingresar-contrato.php                                                       | PHP        |         23 |          1 |         10 |         34 |
| c:\xampp\htdocs\Funciones\Contrato\menu-acciones-contrato.php                                                  | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Estudiante\agregar-estudiantes-1c.php                                                | PHP        |        131 |          0 |          5 |        136 |
| c:\xampp\htdocs\Funciones\Estudiante\agregar-estudiantes-2c.php                                                | PHP        |        131 |          0 |          5 |        136 |
| c:\xampp\htdocs\Funciones\Estudiante\borrar-estudiante.php                                                     | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Estudiante\buscar-estudiante-2.php                                                   | PHP        |        141 |          3 |         22 |        166 |
| c:\xampp\htdocs\Funciones\Estudiante\consultar-estudiantes-2c.php                                              | PHP        |         85 |          0 |          4 |         89 |
| c:\xampp\htdocs\Funciones\Estudiante\consultar-estudiantes.php                                                 | PHP        |        142 |          0 |          3 |        145 |
| c:\xampp\htdocs\Funciones\Estudiante\decision-actualizar-estudiantes copy.php                                  | PHP        |        142 |          0 |          3 |        145 |
| c:\xampp\htdocs\Funciones\Estudiante\decision-agregar-estudiantes.php                                          | PHP        |        142 |          0 |          3 |        145 |
| c:\xampp\htdocs\Funciones\Estudiante\eliminar-estudiantes.php                                                  | PHP        |         87 |          0 |          4 |         91 |
| c:\xampp\htdocs\Funciones\Estudiante\hogar-estudiantes.php                                                     | PHP        |        199 |          0 |          9 |        208 |
| c:\xampp\htdocs\Funciones\Estudiante\ingresar-estudiantes-1.php                                                | PHP        |         40 |          2 |         13 |         55 |
| c:\xampp\htdocs\Funciones\Estudiante\ingresar-estudiantes-2.php                                                | PHP        |         43 |          2 |         13 |         58 |
| c:\xampp\htdocs\Funciones\Estudiante\menu-acciones-estudiante.php                                              | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Estudiante\reporte-estudiante-hogar.php                                              | PHP        |        123 |          0 |          5 |        128 |
| c:\xampp\htdocs\Funciones\Estudiante\reporte-estudiante.php                                                    | PHP        |         70 |          2 |         22 |         94 |
| c:\xampp\htdocs\Funciones\Estudiante\reporte-estudiante2.php                                                   | PHP        |         61 |          1 |         20 |         82 |
| c:\xampp\htdocs\Funciones\Formularios\Unicos\cedula.php                                                        | PHP        |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\Funciones\Formularios\Unicos\id.php                                                            | PHP        |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\Funciones\Formularios\consultar-datos.php                                                      | PHP        |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\Funciones\Formularios\contactos.php                                                            | PHP        |         23 |          0 |          3 |         26 |
| c:\xampp\htdocs\Funciones\Formularios\datos-estudiante-1.php                                                   | PHP        |         38 |          0 |          0 |         38 |
| c:\xampp\htdocs\Funciones\Formularios\datos.php                                                                | PHP        |         28 |          0 |          0 |         28 |
| c:\xampp\htdocs\Funciones\Formularios\direccion.php                                                            | PHP        |         46 |          0 |          3 |         49 |
| c:\xampp\htdocs\Funciones\Hogar\buscar-mision-vision.php                                                       | PHP        |         57 |          1 |          7 |         65 |
| c:\xampp\htdocs\Funciones\Hogar\hogar.php                                                                      | PHP        |         80 |          0 |         10 |         90 |
| c:\xampp\htdocs\Funciones\Login\login.php                                                                      | PHP        |         50 |          0 |          9 |         59 |
| c:\xampp\htdocs\Funciones\Login\recuperar-script.php                                                           | PHP        |         76 |          0 |         10 |         86 |
| c:\xampp\htdocs\Funciones\Login\recuperar.php                                                                  | PHP        |         58 |          0 |         13 |         71 |
| c:\xampp\htdocs\Funciones\Login\registro.php                                                                   | PHP        |         73 |          0 |          9 |         82 |
| c:\xampp\htdocs\Funciones\Materia\agregar-materias.php                                                         | PHP        |        122 |          0 |          5 |        127 |
| c:\xampp\htdocs\Funciones\Materia\agregar-plan.php                                                             | PHP        |        101 |          0 |          5 |        106 |
| c:\xampp\htdocs\Funciones\Materia\borrar-materia.php                                                           | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Materia\borrar-plan.php                                                              | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Materia\decision-actualizar-materias.php                                             | PHP        |        143 |          0 |          3 |        146 |
| c:\xampp\htdocs\Funciones\Materia\decision-agregar-materias.php                                                | PHP        |        143 |          0 |          3 |        146 |
| c:\xampp\htdocs\Funciones\Materia\decision-consultar-materias.php                                              | PHP        |        143 |          0 |          3 |        146 |
| c:\xampp\htdocs\Funciones\Materia\decision-eliminar-materias.php                                               | PHP        |        143 |          0 |          3 |        146 |
| c:\xampp\htdocs\Funciones\Materia\eliminar-materias.php                                                        | PHP        |        111 |          0 |          5 |        116 |
| c:\xampp\htdocs\Funciones\Materia\eliminar-plan.php                                                            | PHP        |        111 |          0 |          5 |        116 |
| c:\xampp\htdocs\Funciones\Materia\hogar-materias.php                                                           | PHP        |        140 |          0 |          7 |        147 |
| c:\xampp\htdocs\Funciones\Materia\ingresar-materias.php                                                        | PHP        |         25 |          1 |         10 |         36 |
| c:\xampp\htdocs\Funciones\Materia\ingresar-plan.php                                                            | PHP        |         23 |          1 |         10 |         34 |
| c:\xampp\htdocs\Funciones\Materia\menu-acciones-materia.php                                                    | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Matricula\agregar-matriculas.php                                                     | PHP        |        115 |          0 |          5 |        120 |
| c:\xampp\htdocs\Funciones\Matricula\borrar-matricula.php                                                       | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Matricula\eliminar-matriculas.php                                                    | PHP        |        111 |          0 |          5 |        116 |
| c:\xampp\htdocs\Funciones\Matricula\hogar-matriculas.php                                                       | PHP        |        140 |          0 |          7 |        147 |
| c:\xampp\htdocs\Funciones\Matricula\ingresar-matricula.php                                                     | PHP        |         24 |          1 |         10 |         35 |
| c:\xampp\htdocs\Funciones\Matricula\menu-acciones-matricula.php                                                | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Mensualidad\agregar-mensualidades.php                                                | PHP        |        115 |          0 |          5 |        120 |
| c:\xampp\htdocs\Funciones\Mensualidad\borrar-mensualidad.php                                                   | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Mensualidad\eliminar-mensualidades.php                                               | PHP        |         87 |          0 |          5 |         92 |
| c:\xampp\htdocs\Funciones\Mensualidad\hogar-mensualidades.php                                                  | PHP        |        169 |          0 |          7 |        176 |
| c:\xampp\htdocs\Funciones\Mensualidad\ingresar-mensualidades.php                                               | PHP        |         24 |          1 |          8 |         33 |
| c:\xampp\htdocs\Funciones\Mensualidad\menu-acciones-mensualidad.php                                            | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Mirai\hogar-mirai-ig.php                                                             | PHP        |        165 |          0 |          7 |        172 |
| c:\xampp\htdocs\Funciones\Mirai\hogar-mirai-voice.php                                                          | PHP        |        227 |          0 |          9 |        236 |
| c:\xampp\htdocs\Funciones\Mirai\hogar-mirai.php                                                                | PHP        |      1,461 |          0 |         49 |      1,510 |
| c:\xampp\htdocs\Funciones\Mirai\menu-acciones-mirai.php                                                        | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Nota\agregar-notas1.php                                                              | PHP        |        156 |          0 |          4 |        160 |
| c:\xampp\htdocs\Funciones\Nota\agregar-notas2.php                                                              | PHP        |        137 |          0 |          5 |        142 |
| c:\xampp\htdocs\Funciones\Nota\buscar-notas2.php                                                               | PHP        |         61 |          1 |         15 |         77 |
| c:\xampp\htdocs\Funciones\Nota\consultar-notas2.php                                                            | PHP        |        107 |          0 |          4 |        111 |
| c:\xampp\htdocs\Funciones\Nota\decision-agregar-notas.php                                                      | PHP        |        142 |          0 |          3 |        145 |
| c:\xampp\htdocs\Funciones\Nota\decision-consultar-notas.php                                                    | PHP        |        142 |          0 |          3 |        145 |
| c:\xampp\htdocs\Funciones\Nota\hogar-notas.php                                                                 | PHP        |        199 |          0 |          8 |        207 |
| c:\xampp\htdocs\Funciones\Nota\ingresar-notas1.php                                                             | PHP        |         28 |          0 |          7 |         35 |
| c:\xampp\htdocs\Funciones\Nota\ingresar-notas2.php                                                             | PHP        |         27 |          0 |          7 |         34 |
| c:\xampp\htdocs\Funciones\Nota\menu-acciones-nota.php                                                          | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Nota\reporte-literal-hogar.php                                                       | PHP        |        107 |          0 |          5 |        112 |
| c:\xampp\htdocs\Funciones\Nota\reporte-literal.php                                                             | PHP        |         83 |          1 |         16 |        100 |
| c:\xampp\htdocs\Funciones\Nota\reporte-literal2.php                                                            | PHP        |         42 |          1 |         16 |         59 |
| c:\xampp\htdocs\Funciones\Nota\reporte-record-hogar.php                                                        | PHP        |        107 |          0 |          5 |        112 |
| c:\xampp\htdocs\Funciones\Nota\reporte-record.php                                                              | PHP        |        113 |          6 |         34 |        153 |
| c:\xampp\htdocs\Funciones\Nota\reporte-record2.php                                                             | PHP        |         65 |          5 |         22 |         92 |
| c:\xampp\htdocs\Funciones\Parroquia\agregar-ciudades.php                                                       | PHP        |        116 |          0 |          5 |        121 |
| c:\xampp\htdocs\Funciones\Parroquia\agregar-estados.php                                                        | PHP        |         98 |          0 |          5 |        103 |
| c:\xampp\htdocs\Funciones\Parroquia\agregar-municipios.php                                                     | PHP        |        112 |          0 |          4 |        116 |
| c:\xampp\htdocs\Funciones\Parroquia\agregar-parroquias.php                                                     | PHP        |        112 |          0 |          5 |        117 |
| c:\xampp\htdocs\Funciones\Parroquia\borrar-ciudad.php                                                          | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Parroquia\borrar-estado.php                                                          | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Parroquia\borrar-municipio.php                                                       | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Parroquia\borrar-parroquia.php                                                       | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Parroquia\decision-actualizar-parroquias.php                                         | PHP        |        202 |          0 |          3 |        205 |
| c:\xampp\htdocs\Funciones\Parroquia\decision-agregar-parroquias.php                                            | PHP        |        202 |          0 |          3 |        205 |
| c:\xampp\htdocs\Funciones\Parroquia\decision-consultar-parroquias.php                                          | PHP        |        202 |          0 |          3 |        205 |
| c:\xampp\htdocs\Funciones\Parroquia\decision-eliminar-parroquias.php                                           | PHP        |        202 |          0 |          3 |        205 |
| c:\xampp\htdocs\Funciones\Parroquia\eliminar-ciudades.php                                                      | PHP        |        110 |          0 |          4 |        114 |
| c:\xampp\htdocs\Funciones\Parroquia\eliminar-estados.php                                                       | PHP        |        110 |          0 |          4 |        114 |
| c:\xampp\htdocs\Funciones\Parroquia\eliminar-municipios.php                                                    | PHP        |        110 |          0 |          4 |        114 |
| c:\xampp\htdocs\Funciones\Parroquia\eliminar-parroquias.php                                                    | PHP        |        110 |          0 |          4 |        114 |
| c:\xampp\htdocs\Funciones\Parroquia\hogar-parroquias.php                                                       | PHP        |        199 |          0 |          8 |        207 |
| c:\xampp\htdocs\Funciones\Parroquia\ingresar-ciudad.php                                                        | PHP        |         24 |          1 |          8 |         33 |
| c:\xampp\htdocs\Funciones\Parroquia\ingresar-estado.php                                                        | PHP        |         22 |          1 |          8 |         31 |
| c:\xampp\htdocs\Funciones\Parroquia\ingresar-municipio.php                                                     | PHP        |         23 |          1 |          8 |         32 |
| c:\xampp\htdocs\Funciones\Parroquia\ingresar-parroquias.php                                                    | PHP        |         23 |          1 |          8 |         32 |
| c:\xampp\htdocs\Funciones\Parroquia\menu-acciones-parroquia.php                                                | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Profesor\agregar-profesores-guia.php                                                 | PHP        |        164 |          0 |          7 |        171 |
| c:\xampp\htdocs\Funciones\Profesor\agregar-profesores.php                                                      | PHP        |        135 |          0 |          4 |        139 |
| c:\xampp\htdocs\Funciones\Profesor\borrar-profesor.php                                                         | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Profesor\eliminar-profesores.php                                                     | PHP        |        112 |          0 |          6 |        118 |
| c:\xampp\htdocs\Funciones\Profesor\hogar-profesores.php                                                        | PHP        |        200 |          0 |          7 |        207 |
| c:\xampp\htdocs\Funciones\Profesor\ingresar-profesor.php                                                       | PHP        |         43 |          4 |         14 |         61 |
| c:\xampp\htdocs\Funciones\Profesor\insertar-guia.php                                                           | PHP        |         26 |          0 |          9 |         35 |
| c:\xampp\htdocs\Funciones\Profesor\menu-acciones-profesor.php                                                  | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Profesor\reporte-profesor.php                                                        | PHP        |         60 |          2 |         19 |         81 |
| c:\xampp\htdocs\Funciones\Reportes\encabezado-reportes.php                                                     | PHP        |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\Funciones\Representante\actualizar-representantes.php                                          | PHP        |        117 |          0 |          4 |        121 |
| c:\xampp\htdocs\Funciones\Representante\agregar-representantes.php                                             | PHP        |        117 |          0 |          4 |        121 |
| c:\xampp\htdocs\Funciones\Representante\borrar-representantes.php                                              | PHP        |         22 |          1 |         10 |         33 |
| c:\xampp\htdocs\Funciones\Representante\buscar-representantes.php                                              | PHP        |        292 |          5 |         26 |        323 |
| c:\xampp\htdocs\Funciones\Representante\cambiar-representantes.php                                             | PHP        |         41 |          4 |         14 |         59 |
| c:\xampp\htdocs\Funciones\Representante\consultar-representantes.php                                           | PHP        |         86 |          0 |          4 |         90 |
| c:\xampp\htdocs\Funciones\Representante\eliminar-representantes.php                                            | PHP        |         90 |          0 |          4 |         94 |
| c:\xampp\htdocs\Funciones\Representante\hogar-representantes.php                                               | PHP        |        199 |          0 |          8 |        207 |
| c:\xampp\htdocs\Funciones\Representante\ingresar-representantes.php                                            | PHP        |         41 |          4 |         14 |         59 |
